Player,Team,Rank,Min,Pts,FGM/A,FTM/A,3PM/A,Reb,Ast,Stl,Blk,Tov,Foul,FP,Cost,Value
"Russell Westbrook (PG, OKC)",MIL,#26,38.2,25.6,9.0-19.8,6.1-7.4,1.6-4.9,7.7,10.6,2.3,0.3,4.3,2.7,51.64,$10700,4.83
"Kevin Durant (F, OKC)",MIL,#26,38.4,29.1,10.2-20.0,6.8-7.6,2.2-5.9,8.8,4.8,1.1,1.5,3.3,2.1,48.76,$10800,4.51
"James Harden (GF, HOU)",TOR,#6,38.4,28.2,8.5-19.2,8.7-10.0,2.7-7.5,6.1,6.8,1.7,0.6,4.3,2.9,46.02,$10900,4.22
"Stephen Curry (G, GS)",LAL,#29,31,26.2,8.7-17.4,4.8-5.2,4.0-8.9,4.8,6.3,1.9,0.3,2.9,1.8,42.91,$10900,3.94
"Kyle Lowry (PG, TOR)",HOU,#17,38.8,23.5,7.8-16.8,5.5-6.4,2.8-6.9,5.3,6.9,2.3,0.4,3.0,2.7,42.61,$9100,4.68
"Damian Lillard (PG, POR)",DET,#12,35.9,24.4,8.3-19.2,5.1-5.8,2.8-7.5,4.3,6.9,1.1,0.3,3.1,2.3,39.61,$9400,4.21
"Andre Drummond (FC, DET)",POR,#14,33.4,16.4,6.8-13.4,2.4-6.7,0.1-0.3,13.5,1.1,1.5,1.6,2.0,3.1,38.45,$8500,4.52
"Hassan Whiteside (C, MIA)",PHI,#30,31.9,14.5,5.9-9.7,2.6-4.3,0.0-0.0,12.1,0.5,0.7,3.7,2.1,2.9,36.47,$8600,4.24
"DeMar DeRozan (GF, TOR)",HOU,#17,36.4,23.9,8.1-18.1,6.7-8.0,1.0-3.0,4.6,4.2,1.0,0.3,2.4,2.1,35.92,$7800,4.61
"Giannis Antetokounmpo (F, MIL)",OKC,#4,37.7,18.0,6.9-14.0,4.0-5.3,0.3-1.4,8.6,3.6,1.2,1.3,2.8,3.6,35.92,$8700,4.13
"Ishmael Smith (PG, PHI)",MIA,#10,37.6,16.5,6.6-16.4,2.4-3.5,0.8-2.7,4.9,8.3,1.5,0.4,3.1,2.4,35.53,$6800,5.23
"Draymond Green (F, GS)",LAL,#29,31.4,13.2,4.7-9.7,2.7-4.0,1.1-2.8,8.3,6.1,1.4,1.0,2.7,2.7,34.41,$8600,4
"Dwyane Wade (G, MIA)",PHI,#30,32,20.0,7.6-16.9,4.4-5.7,0.3-1.4,4.2,5.0,1.2,0.6,2.7,1.7,33.44,$7700,4.34
"Dwight Howard (FC, HOU)",TOR,#6,32.9,14.7,5.5-9.0,3.6-7.1,0.0-0.1,11.6,1.4,0.9,1.5,2.3,3.2,33.22,$8000,4.15
"Khris Middleton (GF, MIL)",OKC,#4,38.4,20.1,6.9-15.9,4.1-4.7,2.1-5.0,4,4.5,1.6,0.2,2.3,2.6,32.95,$7900,4.17
"Greg Monroe (FC, MIL)",OKC,#4,30.5,16.1,6.5-12.5,3.0-4.1,0.0-0.2,9.5,2.2,0.9,0.9,1.8,2.3,32.6,$7200,4.53
"C.J. McCollum (G, POR)",DET,#12,35.5,21.1,8.1-17.9,2.6-3.2,2.4-6.0,3.5,4.3,1.2,0.3,2.5,2.2,32.25,$6900,4.67
"Robert Covington (F, PHI)",MIA,#10,38.9,16.3,5.5-14.0,2.9-3.6,2.4-7.7,7.8,2.1,2.1,1.1,3.2,4.6,32.01,$5400,5.93
"Dirk Nowitzki (FC, DAL)",DEN,#24,32.4,18.5,6.8-14.9,3.5-3.9,1.5-3.9,7,1.9,0.7,0.8,1.3,2.2,31.45,$6600,4.77
"Alex Len (FC, PHX)",MEM,#16,34.5,13.7,5.2-11.1,3.4-4.6,0.0-0.3,10.9,1.4,0.8,1.5,2.8,4.6,30.68,$5800,5.29
"Reggie Jackson (G, DET)",POR,#14,30.2,18.7,6.9-15.3,3.5-4.2,1.5-4.0,3.3,5.7,0.8,0.1,2.5,2.1,30.51,$6600,4.62
"Zach Randolph (FC, MEM)",PHX,#28,30.3,16.1,6.6-13.2,2.8-3.5,0.1-0.5,8.2,1.9,0.6,0.3,1.5,2.2,29.09,$6700,4.34
"Klay Thompson (GF, GS)",LAL,#29,30.7,20.4,7.4-15.7,2.6-3.1,2.9-7.1,3.5,2.0,0.8,0.6,1.6,1.8,28.8,$7200,4
"Julius Randle (PF, LAL)",GS,#2,30.5,13.2,5.0-11.8,2.6-3.7,0.2-0.5,10.8,1.5,0.6,0.5,2.1,3.4,28.51,$6200,4.6
"Mike Conley (PG, MEM)",PHX,#28,30.5,14.8,5.2-12.1,3.4-4.0,1.2-3.4,3,5.8,1.1,0.3,1.5,1.8,28.4,$6800,4.18
"Jerami Grant (F, PHI)",MIA,#10,37,12.6,4.5-10.2,3.2-4.8,0.4-2.1,7,2.2,1.0,2.1,2.1,4.1,28.4,$5000,5.68
"Serge Ibaka (FC, OKC)",MIL,#26,34.8,14.1,5.9-12.0,1.6-2.0,0.7-2.0,7.5,1.0,0.4,2.1,1.6,3.0,28,$5900,4.75
"D'Angelo Russell (PG, LAL)",GS,#2,33.6,15.4,5.8-14.1,1.7-2.6,1.7-5.2,4.4,4.5,1.4,0.2,2.8,2.2,27.83,$5700,4.88
"Goran Dragic (G, MIA)",PHI,#30,34,14.0,5.7-12.1,1.8-2.6,0.9-3.0,3.8,6.1,1.1,0.2,2.6,2.6,27.71,$6700,4.14
"Tobias Harris (F, DET)",POR,#14,35,14.7,5.6-12.0,2.7-3.4,0.9-2.9,7.3,2.0,0.9,0.5,1.6,2.4,27.66,$5800,4.77
"Jabari Parker (F, MIL)",OKC,#4,37,16.0,6.5-13.5,2.4-3.2,0.5-1.5,6,2.1,0.9,0.5,1.8,2.5,27.35,$6000,4.56
"Jonas Valanciunas (C, TOR)",HOU,#17,26.7,13.0,5.0-8.8,2.9-3.9,0.0-0.0,9.4,0.7,0.4,1.3,1.5,2.6,27.23,$6200,4.39
"Will Barton (GF, DEN)",DAL,#13,29.5,15.4,5.7-13.0,2.6-3.2,1.3-3.7,6,2.3,0.9,0.5,1.7,2.1,27.15,$5800,4.68
"Chandler Parsons (F, DAL)",DEN,#24,33.1,15.7,5.9-12.1,1.6-2.4,1.8-4.9,4.8,3.1,0.7,0.3,1.4,1.8,26.71,$6900,3.87
"Nikola Jokic (C, DEN)",DAL,#13,25.1,11.7,4.5-8.7,2.3-2.8,0.4-1.2,7.4,2.2,1.2,0.8,1.5,2.8,26.38,$5800,4.55
"Kenneth Faried (FC, DEN)",DAL,#13,26.3,12.4,5.2-9.4,2.0-3.3,0.0-0.1,8.7,1.2,0.5,1.0,1.4,2.6,26.24,$6000,4.37
"Deron Williams (PG, DAL)",DEN,#24,31.9,14.2,5.0-11.8,2.8-3.2,1.4-3.8,3,5.5,0.9,0.2,2.2,2.3,26.05,$5600,4.65
"Trevor Ariza (GF, HOU)",TOR,#6,37.1,13.1,4.5-10.9,1.8-2.3,2.2-6.2,4.9,2.4,2.1,0.3,1.6,2.5,25.78,$6400,4.03
"Jordan Clarkson (G, LAL)",GS,#2,32.2,15.5,6.0-13.8,2.4-3.0,1.1-3.4,3.9,2.8,1.0,0.2,1.9,2.3,24.88,$5900,4.22
"Kobe Bryant (GF, LAL)",GS,#2,27.7,15.2,5.4-15.0,2.9-3.7,1.5-5.7,3.7,3.2,0.9,0.2,2.0,1.9,24.64,$5900,4.18
"Emmanuel Mudiay (PG, DEN)",DAL,#13,30.6,11.9,4.5-12.3,2.0-3.1,0.9-3.2,3.4,5.8,1.1,0.5,3.3,2.2,24.58,$5800,4.24
"Luol Deng (F, MIA)",PHI,#30,34,13.2,4.7-10.6,2.3-3.1,1.4-3.9,5.5,1.7,1.1,0.3,1.2,1.9,23.95,$5900,4.06
"Mirza Teletovic (F, PHX)",MEM,#16,27.6,14.9,5.2-12.0,1.9-2.6,2.4-6.4,5,1.4,0.6,0.5,1.3,2.6,23.9,$4600,5.2
"Kentavious Caldwell-Pope (SG, DET)",POR,#14,36.5,14.4,5.3-12.7,2.4-2.9,1.5-4.8,3.5,2.2,1.4,0.2,1.4,2.2,23.7,$5000,4.74
"Mason Plumlee (FC, POR)",DET,#12,25.9,9.0,3.3-6.6,2.2-3.6,0.1-0.2,7.6,2.5,0.7,1.0,1.8,3.1,23.47,$5000,4.69
"Matt Barnes (GF, MEM)",PHX,#28,30.2,10.5,3.8-9.0,1.7-2.1,1.5-4.2,6.1,2.0,1.3,0.8,1.6,3.2,23.42,$4700,4.98
"Devin Booker (SG, PHX)",MEM,#16,34.3,15.7,5.3-12.6,3.2-4.0,1.8-4.8,3.2,2.7,0.7,0.3,2.2,3.5,23.39,$5100,4.59
"Gary Harris (SG, DEN)",DAL,#13,37.3,13.6,5.1-11.6,1.6-2.0,1.7-4.8,3.3,2.4,1.5,0.3,1.6,2.2,23.16,$5000,4.63
"Zaza Pachulia (C, DAL)",DEN,#24,25.3,8.6,2.9-6.5,2.7-3.3,0.1-0.3,8.7,1.8,1.0,0.4,1.5,2.4,23.04,$5200,4.43
"Harrison Barnes (F, GS)",LAL,#29,30.4,12.4,4.7-10.0,1.7-2.1,1.6-3.9,4.7,1.8,0.7,0.2,0.9,2.2,21.64,$4500,4.81
"Mario Chalmers (G, MEM)",PHX,#28,23.6,10.8,3.4-7.7,3.1-3.8,0.9-2.6,2.7,4.1,1.4,0.2,1.8,2.7,21.59,$5000,4.32
"Marcus Morris (F, DET)",POR,#14,31.7,11.9,4.5-10.6,2.2-2.8,1.0-3.2,4.2,2.3,0.8,0.3,1.5,2.0,21.09,$5400,3.91
"Joe Johnson (GF, MIA)",PHI,#30,30.4,11.6,4.4-10.3,1.5-1.8,1.4-3.7,3.5,3.5,0.6,0.1,1.7,1.5,20.75,$5300,3.92
"P.J. Tucker (GF, PHX)",MEM,#16,32.9,8.4,3.0-7.4,1.3-1.7,0.9-2.8,5.9,2.3,1.3,0.3,1.4,2.6,20.73,$4700,4.41
"Chris Andersen (FC, MEM)",PHX,#28,26.3,7.4,2.5-4.3,2.2-3.2,0.2-0.6,7.2,1.0,0.7,1.4,1.3,2.5,20.44,$3700,5.52
"Andrew Bogut (C, GS)",LAL,#29,20.5,6.2,2.8-4.3,0.6-1.1,0.0-0.0,7,1.7,0.5,1.6,1.0,2.8,20.35,$4800,4.24
"Wesley Matthews (GF, DAL)",DEN,#24,32.8,12.3,4.3-10.9,1.5-1.8,2.2-6.2,3.1,1.9,1.0,0.2,1.0,2.2,20.27,$4400,4.61
"Patrick Beverley (G, HOU)",TOR,#6,29.4,9.9,3.6-8.6,1.1-1.7,1.7-4.4,3.3,2.9,1.3,0.3,1.3,3.3,20.11,$4900,4.1
"Ed Davis (FC, POR)",DET,#12,22.6,7.1,2.7-4.5,1.5-2.7,0.0-0.0,7.4,1.0,0.6,1.1,0.9,2.5,19.98,$4300,4.65
"Jerryd Bayless (G, MIL)",OKC,#4,28.2,10.9,3.7-8.9,1.5-1.9,1.8-4.2,2.8,3.4,0.9,0.2,1.7,2.2,19.86,$4100,4.84
"Ronnie Price (G, PHX)",MEM,#16,29.5,8.8,3.2-8.0,1.0-1.1,1.5-4.7,2.5,3.4,1.8,0.3,1.6,4.0,19.5,$4000,4.88
"Isaiah Canaan (PG, PHI)",MIA,#10,29.8,12.4,4.1-11.0,2.0-2.5,2.3-6.2,2.7,2.2,0.8,0.2,1.6,2.2,19.34,$3700,5.23
"O.J. Mayo (G, MIL)",OKC,#4,29.4,9.1,3.4-8.9,1.0-1.3,1.3-4.1,2.9,3.7,1.3,0.2,2.0,3.2,19.13,$3500,5.47
"Raymond Felton (G, DAL)",DEN,#24,26.3,9.4,3.4-8.4,1.8-2.1,0.9-3.0,3,3.3,0.9,0.2,1.4,1.7,18.75,$4500,4.17
"Steven Adams (C, OKC)",MIL,#26,24.2,7.4,2.9-4.8,1.4-2.4,0.0-0.0,6.4,0.7,0.5,1.1,1.0,2.7,18.33,$4000,4.58
"Enes Kanter (C, OKC)",MIL,#26,18.2,9.7,3.8-7.0,1.7-2.5,0.1-0.1,6.1,0.5,0.3,0.5,1.1,1.9,18.27,$4500,4.06
"Tyson Chandler (C, PHX)",MEM,#16,23,6.4,2.4-4.4,1.5-2.5,0.0-0.0,7.7,0.9,0.5,0.7,1.3,2.2,18.09,$4300,4.21
"Darrell Arthur (FC, DEN)",DAL,#13,23.9,7.9,3.3-7.5,0.8-1.0,0.7-1.7,4.5,1.5,1.0,0.8,1.1,2.9,18.05,$3600,5.01
"Hollis Thompson (GF, PHI)",MIA,#10,31.7,10.3,3.8-9.6,0.8-1.3,1.9-5.2,3.8,1.2,0.6,0.4,1.3,2.8,17.36,$3700,4.69
"Cory Joseph (PG, TOR)",HOU,#17,24.6,8.6,3.1-7.1,1.7-2.3,0.5-1.6,2.4,3.2,0.8,0.3,1.2,1.7,17.28,$4000,4.32
"Archie Goodwin (G, PHX)",MEM,#16,23.1,10.4,3.7-9.0,2.4-3.4,0.5-2.2,2.9,2.4,0.5,0.2,1.9,1.7,16.98,$4400,3.86
"Luis Scola (FC, TOR)",HOU,#17,22.1,8.6,3.5-8.0,0.9-1.2,0.7-2.1,4.9,0.9,0.6,0.4,0.9,2.4,16.93,$3500,4.84
"Bismack Biyombo (C, TOR)",HOU,#17,20.4,5.2,1.7-3.4,1.6-2.4,0.0-0.0,7,0.3,0.3,1.4,1.0,2.6,16.45,$3900,4.22
"Dion Waiters (GF, OKC)",MIL,#26,27.3,9.6,3.6-8.9,1.5-1.9,1.2-3.2,2.5,1.9,1.0,0.1,1.4,1.9,16.25,$3600,4.51
"Allen Crabbe (G, POR)",DET,#12,25.1,9.9,3.8-8.4,1.0-1.1,1.4-3.8,2.7,1.2,0.9,0.2,0.9,2.3,16.24,$3600,4.51
"Terrence Ross (GF, TOR)",HOU,#17,26.6,10.3,3.9-8.9,0.6-0.8,2.0-5.0,2.7,0.8,0.7,0.3,0.7,1.8,16.04,$3800,4.22
"Al-Farouq Aminu (F, POR)",DET,#12,21.7,7.6,2.8-6.6,1.1-1.5,0.9-2.6,4.6,1.3,0.6,0.5,1.3,1.7,15.97,$4100,3.9
"Gerald Henderson (GF, POR)",DET,#12,23,9.6,3.6-8.5,1.4-2.0,1.0-2.6,3.3,1.2,0.6,0.2,1.0,1.4,15.96,$3900,4.09
"Lance Stephenson (GF, MEM)",PHX,#28,22.2,7.6,3.1-6.3,0.1-1.2,0.1-1.2,4,2.2,0.9,0.0,1.7,2.3,15.8,$3900,4.05
"Patrick Patterson (FC, TOR)",HOU,#17,28.2,7.2,2.9-6.8,0.4-0.6,1.2-3.5,4.5,1.3,0.8,0.3,1.0,2.1,15.75,$3500,4.5
"Josh Richardson (GF, MIA)",PHI,#30,27.8,6.4,2.2-5.9,1.1-1.5,0.8-2.4,3.2,1.9,1.1,0.7,1.1,3.1,15.59,$3600,4.33
"Brandon Bass (FC, LAL)",GS,#2,19.5,6.6,2.5-4.6,1.6-2.0,0.0-0.1,4.3,1.0,0.6,0.8,0.6,1.8,15.46,$3700,4.18
"Meyers Leonard (FC, POR)",DET,#12,21.5,7.9,3.1-6.9,0.7-1.0,1.0-2.8,4.9,1.3,0.2,0.3,1.3,2.8,15.43,$3500,4.41
"Justise Winslow (F, MIA)",PHI,#30,26.7,6.1,2.3-5.4,1.0-1.5,0.3-1.4,5,1.3,0.9,0.4,1.3,2.3,15.35,$4100,3.74
"JaKarr Sampson (SF, DEN)",DAL,#13,23.7,7.8,3.0-6.6,1.3-2.5,0.3-1.2,4.4,1.0,0.6,0.6,1.7,3.0,15.28,$3500,4.37
"Corey Brewer (GF, HOU)",TOR,#6,21.9,7.9,2.8-7.3,1.4-1.8,0.9-3.0,2.5,1.7,1.2,0.2,1.0,2.2,15.25,$3600,4.24
"Miles Plumlee (FC, MIL)",OKC,#4,18.2,6.4,2.9-4.6,0.6-1.2,0.0-0.0,5,0.4,0.4,1.2,1.0,2.2,15.2,$3700,4.11
"Roy Hibbert (C, LAL)",GS,#2,20.5,5.8,2.3-4.9,1.4-1.7,0.0-0.0,4.4,1.1,0.3,1.3,0.9,2.6,15.03,$3500,4.29
"JaMychal Green (PF, MEM)",PHX,#28,19.6,7.2,2.8-5.4,1.1-1.9,0.3-0.6,5.2,0.6,0.6,0.4,1.4,2.8,14.94,$3700,4.04
"D.J. Augustin (PG, DEN)",DAL,#13,22.6,7.7,2.6-6.0,1.3-1.7,1.3-2.9,1.9,3.1,0.6,0.1,1.3,1.9,14.73,$4000,3.68
"T.J. McConnell (PG, PHI)",MIA,#10,17.3,5.2,2.2-4.9,0.1-0.5,0.4-1.0,2.7,3.7,1.0,0.1,1.6,1.3,14.59,$3500,4.17
"Joffrey Lauvergne (FC, DEN)",DAL,#13,17.1,7.4,3.0-6.0,1.2-1.5,0.2-0.7,4.6,0.9,0.2,0.3,0.9,1.9,14.37,$3600,3.99
"Shaun Livingston (G, GS)",LAL,#29,19,6.3,2.5-5.1,1.0-1.2,0.2-0.7,2,2.9,0.7,0.3,1.0,1.6,14.05,$3900,3.6
"Donatas Motiejunas (F, HOU)",TOR,#6,20,7.7,3.1-6.0,0.0-1.9,0.7-1.9,3,1.9,0.7,0.0,1.9,2.3,13.65,$3500,3.9
"Clint Capela (FC, HOU)",TOR,#6,14.1,4.7,2.0-3.6,0.7-1.7,0.0-0.0,4.5,0.7,0.7,0.9,0.7,1.9,13.65,$4000,3.41
"Larry Nance Jr. (PF, LAL)",GS,#2,18.8,5.3,2.3-4.6,0.5-0.8,0.1-0.3,4.5,0.7,0.8,0.3,0.6,1.8,13.35,$3600,3.71
"Josh Smith (F, HOU)",TOR,#6,15,5.4,2.1-5.8,0.5-1.1,0.5-1.8,3.6,1.3,0.5,0.8,1.2,1.9,13.07,$3500,3.73
